
Interface: Hamachi
Bytes sent: 7.64M
Bytes received: 0.06M
Packages sent: 0.06M
Packages received: 0.00M  

Interface: Беспроводная сеть
Bytes sent: 435.02M
Bytes received: 29259.09M
Packages sent: 3.63M
Packages received: 23.12M  

Interface: Hamachi
Bytes sent: 7.64M
Bytes received: 0.06M
Packages sent: 0.06M
Packages received: 0.00M  

Interface: Беспроводная сеть
Bytes sent: 435.03M
Bytes received: 29259.10M
Packages sent: 3.63M
Packages received: 23.12M  

Interface: Hamachi
Bytes sent: 7.64M
Bytes received: 0.06M
Packages sent: 0.06M
Packages received: 0.00M  

Interface: Беспроводная сеть
Bytes sent: 435.03M
Bytes received: 29259.10M
Packages sent: 3.63M
Packages received: 23.12M  

Interface: Hamachi
Bytes sent: 7.69M
Bytes received: 0.06M
Packages sent: 0.06M
Packages received: 0.00M  

Interface: Беспроводная сеть
Bytes sent: 436.25M
Bytes received: 29306.81M
Packages sent: 3.64M
Packages received: 23.13M  

Interface: Hamachi
Bytes sent: 7.69M
Bytes received: 0.06M
Packages sent: 0.06M
Packages received: 0.00M  

Interface: Беспроводная сеть
Bytes sent: 436.29M
Bytes received: 29306.86M
Packages sent: 3.64M
Packages received: 23.13M  

Interface: Hamachi
Bytes sent: 7.69M
Bytes received: 0.06M
Packages sent: 0.06M
Packages received: 0.00M  

Interface: Беспроводная сеть
Bytes sent: 436.30M
Bytes received: 29306.86M
Packages sent: 3.64M
Packages received: 23.13M  

Interface: Hamachi
Bytes sent: 7.70M
Bytes received: 0.06M
Packages sent: 0.06M
Packages received: 0.00M  

Interface: Беспроводная сеть
Bytes sent: 436.45M
Bytes received: 29306.98M
Packages sent: 3.64M
Packages received: 23.13M  

Interface: Hamachi
Bytes sent: 7.73M
Bytes received: 0.06M
Packages sent: 0.06M
Packages received: 0.00M  

Interface: Беспроводная сеть
Bytes sent: 436.56M
Bytes received: 29307.10M
Packages sent: 3.64M
Packages received: 23.13M  
